categoryId,categoryName,categoryPath,categoryLevel,status,categoryMarginId,categoryMarginFloor,categoryMarginRecommended,brands,tradeStatus
2,products,2,1,Active,,0,0,[],Consumer
2007,"baby and kids","2 → 2007",2,Active,,0,0,[],Consumer
29401,"baby and kids tableware","2 → 2007 → 29401",3,Active,756,10,25,[],Consumer
29403,"baby and kids silverware","2 → 2007 → 29401 → 29403",4,Active,1022,12.49,25,[],Consumer
29402,"baby cups and dishes","2 → 2007 → 29401 → 29402",4,Active,1387,12.49,25,[],Consumer
29404,"baby and kids toys","2 → 2007 → 29404",3,Active,689,10,26,[],Consumer
16006,"baby and toddler toys","2 → 2007 → 29404 → 16006",4,Active,1024,12.49,26,[],Consumer
29406,"baby gyms and play mats","2 → 2007 → 29404 → 29406",4,Active,1378,12.49,26,[],Consumer
16015,"baby swings and bouncers","2 → 2007 → 29404 → 16015",4,Active,1026,12.49,26,[],Consumer
16009,"kids toys and games","2 → 2007 → 29404 → 16009",4,Active,1195,12.49,26,[],Consumer
29405,playpens,"2 → 2007 → 29404 → 29405",4,Active,,0,0,[],Consumer
16022,"baby gates and child safety","2 → 2007 → 16022",3,Active,1029,12.49,25,[],Consumer
16012,"kids decor","2 → 2007 → 16012",3,Active,727,10,25,[],Consumer
29407,"growth charts","2 → 2007 → 16012 → 29407",4,Active,,0,0,[],Consumer
29410,"kids clocks","2 → 2007 → 16012 → 29410",4,Active,1027,12.49,25,[],Consumer
29411,"kids hampers","2 → 2007 → 16012 → 29411",4,Active,,0,0,[],Consumer
29412,"kids jewelry boxes","2 → 2007 → 16012 → 29412",4,Active,,0,0,[],Consumer
29413,"kids mirrors","2 → 2007 → 16012 → 29413",4,Active,,0,0,[],Consumer
29415,"kids room accessories","2 → 2007 → 16012 → 29415",4,Active,1025,12.49,25,[],Consumer
29414,"kids wall decor","2 → 2007 → 16012 → 29414",4,Active,1031,12.49,25,[],Consumer
29408,"piggy banks","2 → 2007 → 16012 → 29408",4,Active,1023,12.49,25,[],Consumer
29409,"wall letters","2 → 2007 → 16012 → 29409",4,Active,1030,12.49,25,[],Consumer
16018,"nursery decor","2 → 2007 → 16018",3,Active,753,10,25,[],Consumer
16020,"baby mobiles","2 → 2007 → 16018 → 16020",4,Active,1354,12.49,25,[],Consumer
16003,"diaper pails and stackers","2 → 2007 → 16018 → 16003",4,Active,1028,12.49,25,[],Consumer
2003,"bath products","2 → 2003",2,Active,,0,0,[],Consumer
12005,"bathroom accessories","2 → 2003 → 12005",3,Active,1361,12.99,25,[],Consumer
12007,"bath mats","2 → 2003 → 12005 → 12007",4,Active,937,13.42,25,[],Consumer
29175,"bathroom accessory sets","2 → 2003 → 12005 → 29175",4,Active,1209,12.99,25,[],Consumer
29416,"bathroom canisters","2 → 2003 → 12005 → 29416",4,Active,968,12.99,25,[],Consumer
29191,"bathroom organizers","2 → 2003 → 12005 → 29191",4,Active,966,12.99,25,[],Consumer
29171,"bathroom safety","2 → 2003 → 12005 → 29171",4,Active,,0,0,[],Consumer
29172,"grab bars","2 → 2003 → 12005 → 29171 → 29172",5,Active,1170,12.99,25,[],Consumer
29173,"shower benches & seats","2 → 2003 → 12005 → 29171 → 29173",5,Active,1123,11.63,25,[],Consumer
29174,"toilet safety accessories","2 → 2003 → 12005 → 29171 → 29174",5,Active,,0,0,[],Consumer
29176,"bathroom scales","2 → 2003 → 12005 → 29176",4,Active,964,12.99,25,[],Consumer
16021,"kids bathroom accessories","2 → 2003 → 12005 → 16021",4,Active,965,12.99,25,[],Consumer
12016,"shower caddies","2 → 2003 → 12005 → 12016",4,Active,969,12.99,25,[],Consumer
29177,"shower curtain rings","2 → 2003 → 12005 → 29177",4,Active,1314,12.99,25,[],Consumer
29178,"shower curtain rods","2 → 2003 → 12005 → 29178",4,Active,961,12.99,25,[],Consumer
12002,"shower curtains","2 → 2003 → 12005 → 12002",4,Active,1172,12.99,25,[],Consumer
29179,"soap & lotion dispensers","2 → 2003 → 12005 → 29179",4,Active,1187,12.99,25,[],Consumer
29180,"soap dishes & holders","2 → 2003 → 12005 → 29180",4,Active,963,12.99,25,[],Consumer
29181,"tissue box holders","2 → 2003 → 12005 → 29181",4,Active,967,12.99,25,[],Consumer
12006,"toilet accessories","2 → 2003 → 12005 → 12006",4,Active,1397,12.99,25,[],Consumer
29182,"toilet brushes & holders","2 → 2003 → 12005 → 12006 → 29182",5,Active,1248,12.99,25,[],Consumer
29184,"toilet paper holders","2 → 2003 → 12005 → 12006 → 29184",5,Active,1148,11.91,25,[],Consumer
29183,"toilet plungers & holders","2 → 2003 → 12005 → 12006 → 29183",5,Active,962,12.99,25,[],Consumer
29185,"toothbrush holders","2 → 2003 → 12005 → 29185",4,Active,1309,12.99,25,[],Consumer
12017,"bathroom cabinets","2 → 2003 → 12017",3,Active,1125,16.61,25,[],Consumer
29551,"bathroom fixture parts","2 → 2003 → 29551",3,Active,651,5,25,[],Consumer
29424,"bathroom sink and faucet parts","2 → 2003 → 29551 → 29424",4,Active,,0,0,[],Consumer
29432,"bidet and toilet parts","2 → 2003 → 29551 → 29432",4,Active,,0,0,[],Consumer
29428,"shower doors","2 → 2003 → 29551 → 29428",4,Active,,0,0,[],Consumer
29427,"shower pans and bases","2 → 2003 → 29551 → 29427",4,Active,,0,0,[],Consumer
29426,"showerhead parts","2 → 2003 → 29551 → 29426",4,Active,,0,0,[],Consumer
29434,"toilet handles and levers","2 → 2003 → 29551 → 29434",4,Active,,0,0,[],Consumer
29433,"toilet seats","2 → 2003 → 29551 → 29433",4,Active,,0,0,[],Consumer
29665,"tub and shower parts","2 → 2003 → 29551 → 29665",4,Active,,0,0,[],Consumer
29417,"bathroom fixtures","2 → 2003 → 29417",3,Active,628,5,25,[],Consumer
12008,"bathroom faucets and showerheads","2 → 2003 → 29417 → 12008",4,Active,,0,0,[],Consumer
29419,"bathroom sink faucets","2 → 2003 → 29417 → 12008 → 29419",5,Active,,0,0,[],Consumer
29421,"bathtub faucets","2 → 2003 → 29417 → 12008 → 29421",5,Active,,0,0,[],Consumer
29420,"bidet faucets","2 → 2003 → 29417 → 12008 → 29420",5,Active,,0,0,[],Consumer
29429,"shower panels and columns","2 → 2003 → 29417 → 12008 → 29429",5,Active,,0,0,[],Consumer
12011,"showerheads and body sprays","2 → 2003 → 29417 → 12008 → 12011",5,Active,,0,0,[],Consumer
29422,"tub and shower faucet sets","2 → 2003 → 29417 → 12008 → 29422",5,Active,,0,0,[],Consumer
12009,"bathroom sinks","2 → 2003 → 29417 → 12009",4,Active,,0,0,[],Consumer
12010,bathtubs,"2 → 2003 → 29417 → 12010",4,Active,,0,0,[],Consumer
29425,bidets,"2 → 2003 → 29417 → 29425",4,Active,,0,0,[],Consumer
29430,"shower stalls and kits","2 → 2003 → 29417 → 29430",4,Active,,0,0,[],Consumer
29431,"steam showers","2 → 2003 → 29417 → 29431",4,Active,,0,0,[],Consumer
12012,toilets,"2 → 2003 → 29417 → 12012",4,Active,,0,0,[],Consumer
29423,urinals,"2 → 2003 → 29417 → 29423",4,Active,,0,0,[],Consumer
29715,"bathroom shelves","2 → 2003 → 29715",3,Active,1185,15.69,25,[],Consumer
12014,"bathroom tile","2 → 2003 → 12014",3,Inactive,,0,0,[],Consumer
12013,"bathroom vanities and sink consoles","2 → 2003 → 12013",3,Active,838,15.84,25,[],Consumer
22009,"medicine cabinets","2 → 2003 → 22009",3,Active,647,5,30,[],Consumer
12003,"towel bars and hooks","2 → 2003 → 12003",3,Active,655,5,25,[],Consumer
29190,"robe & towel hooks","2 → 2003 → 12003 → 29190",4,Active,,0,0,[],Consumer
29188,"towel bars","2 → 2003 → 12003 → 29188",4,Active,,0,0,[],Consumer
29186,"towel racks & stands","2 → 2003 → 12003 → 29186",4,Active,,0,0,[],Consumer
29189,"towel rings","2 → 2003 → 12003 → 29189",4,Active,,0,0,[],Consumer
29187,"towel warmers","2 → 2003 → 12003 → 29187",4,Active,,0,0,[],Consumer
12004,towels,"2 → 2003 → 12004",3,Active,680,10,30,[],Consumer
29214,"bath towels","2 → 2003 → 12004 → 29214",4,Active,1178,12.06,30,[],Consumer
29215,bathrobes,"2 → 2003 → 12004 → 29215",4,Active,1295,13.13,30,[],Consumer
29216,"beach towels","2 → 2003 → 12004 → 29216",4,Active,957,13.13,30,[],Consumer
29217,"kids towels","2 → 2003 → 12004 → 29217",4,Active,959,13.13,30,[],Consumer
12018,"vanity stools and benches","2 → 2003 → 12018",3,Active,1161,12.65,25,[],Consumer
12015,"vanity tops and side splashes","2 → 2003 → 12015",3,Active,1201,15.69,25,[],Consumer
2006,"bedroom products","2 → 2006",2,Active,,0,0,[],Consumer
15002,bedding,"2 → 2006 → 15002",3,Active,649,10,28,[],Consumer
16005,"baby bedding","2 → 2006 → 15002 → 16005",4,Active,,0,0,[],Consumer
29704,"baby blankets","2 → 2006 → 15002 → 16005 → 29704",5,Active,916,13.76,28,[],Consumer
29705,"baby quilts","2 → 2006 → 15002 → 16005 → 29705",5,Active,,0,0,[],Consumer
